Location|Address|City|Hours|Phone Number|Eligibility|Limitations|Link
|4115 Lake Otis Pkwy|Anchorage|9 - 7 ||||
Fairbanks' Foundation Health Partners|9th Avenue & Noble Street|Fairbanks||907-458-2888|||
Baptist Health Drive-u|350 County Road 4|West Prattville|||||https://www.wsfa.com/2020/03/23/baptist-health-expand-drive-up-clinic-prattville/
Northeast Alabama Regional Medical Center|230 E 10th Street|Anniston|M-F 8:30 - 4:30 |256-235-5600|||
Waddell Family Medicine|902 West Washington St|Athens|M-F 8-4||||
Health Plus Fitness Center|1171 Gatewood Dr #101|Auburn||334-528-SICK |||https://www.eamc.org/patient-and-guests/covid-19-information/
Church of the Highlands Grandview|4700 Highlands Way|Birmingham|||||https://www.wvtm13.com/article/drive-thru-coronavirus-testing-in-birmingham-bessemer-and-tuscaloosa/31651212#
UAB Medicine|University Blvd & 22nd Street S|Birmingham|9:00 - 1:30 |205-975-1881|Appt only, call to schedule||https://www.birminghamal.gov/2020/03/30/covid-19-testing-sites-and-sick-clinics-available-in-birmingham/
Cahaba Medical Care|1308 Tuscaloosa Avenue|Birmingham||205-679-6325|https://www.surveymonkey.com/r/CMCcurbsideWE||https://www.al.com/coronavirus/2020/03/heres-where-you-can-get-tested-for-coronavirus-in-alabama.html
John Hunt Park|2151 Airport Rd SW|Huntsville|9 - 5 ||||https://www.al.com/coronavirus/2020/03/heres-where-you-can-get-tested-for-coronavirus-in-alabama.html
Medical Arts Building Parking Lot|230 E 10TH St|Anniston|8:30 - 4:30 ||||http://www.annistonal.gov/uploadedFiles/File/RMC_-_DRIVE_THRU_TESTING_PROCESS_FINAL.pdf
Ladd-Peebles Stadium|1621 Virginia St|Mobile||||Waiting for testing kits|
The Grounds in Mobile|1035 Cody Rd N|Mobile||||Waiting for testing kits|
Infirmary Health|5 Mobile Infirmary Circle|Mobile|10 - 2 |251-341-CV19|||https://www.infirmaryhealth.org/coronavirus-covid-19
Greater Mobile Urgent Care|2350 Schillinger Road|Mobile||251-633-0123|||https://www.al.com/coronavirus/2020/03/heres-where-you-can-get-tested-for-coronavirus-in-alabama.html
|2936 Marti Lane|Montgomery|7 - 7 |334-747-0150|||https://www.wsfa.com/2020/03/16/drive-up-coronavirus-testing-site-opens-montgomery/
DCH Regional Medical Center|809 University Blvd E|Tuscaloosa|8 - 5 ||||https://www.dchsystem.com/Articles/coronavirus_update_and_health_system_preparations.aspx
Assurance Scientific Laboratories|2868 Acton Road||||||
Scottsboro Health Center|70 Freedom Drive|Scottsboro|M - Fr 1 u2013 5 |256-574-5508|||https://www.waaytv.com/content/news/Coronavirus-testing-sites-in-Jackson-County--569277371.html
North Sand Mountain Health Center|29810 Alabama Hwy 71|Bryant|M - Fr 1 u2013 5|256-597-2135|||
Section Health Center|60 Main Street North|Section|M - Fr 1 u2013 5|256-228-3471|||https://www.waaytv.com/content/news/Coronavirus-testing-sites-in-Jackson-County--569277371.html
3Circle Church|10274 Alabama Highway 104-A|Fairhope|Opens 7:30 a.m.||||https://www.al.com/coronavirus/2020/03/heres-where-you-can-get-tested-for-coronavirus-in-alabama.html
Fyffe Health Center|34617 AL Hwy 75|Fyffe|M - Fr 1 u2013 5|256-623-5242|||https://www.waaytv.com/content/news/Coronavirus-testing-sites-in-Jackson-County--569277371.html
Woodville Health Center|13624 County Road 8|Woodville|M - Fr 1 u2013 5|256-776-5615|||https://www.waaytv.com/content/news/Coronavirus-testing-sites-in-Jackson-County--569277371.html
Fort Payne Health Center|3840 Gault Avenue North|Fort Payne|M - Fr 1 u2013 5|256-844-4975|||https://www.waaytv.com/content/news/Coronavirus-testing-sites-in-Jackson-County--569277371.html
Dallas County Health Department|100 Samuel O Moseley Dr|Selma|M/W from 10 a.m. until 2 p.m.|888-264-2256|||https://www.wsfa.com/2020/03/30/dallas-county-open-drive-thru-coronavirus-testing-center/
|1306 W. Collin Raye Drive|De Queen|Wed, April 8 from 10 a.m.- 4 p.m.||||https://www.thv11.com/article/news/health/coronavirus/private-arkansas-lab-secures-30000-covid-19-tests-testing-available-at-new-life-church/91-a0054402-df3a-451b-a764-a5b663d46f01
|103 East 3rd Avenue|Crossett|Mon, April 13 from 11 a.m. - 5 p.m.||||
New Life Church|8000 Crystal Hill Road|Little Rock|every day 10-4 until 4/11/2020||||https://www.thv11.com/article/news/health/coronavirus/private-arkansas-lab-secures-30000-covid-19-tests-testing-available-at-new-life-church/91-a0054402-df3a-451b-a764-a5b663d46f01
UAMS Health|Shuffield Dr. & Jack Stephens Dr.|Little Rock|8 a.m. u2013 8 p.m daily|(501) 686-8000|||
|2090 S. Promenade Blvd|Mercy||479-717-7585|||
Eureka Springs Family Clinic|146 Passion Play Road|Eureka Springs|8 -4:30 M-F||||
Quest Diagnostics||Bentonville|||health workers/first responders prioritizwed||https://www.ualrpublicradio.org/post/arkansas-covid-19-death-toll-rises-10-lawmaker-tests-positive
Baptist Health Medical Center||Heber Springs||(501) 887-3279|call to schedule||https://www.nwaonline.com/news/2020/apr/02/2-state-firms-begin-drive-thru-testing-/
Baptist Health||Stuttgart||(870) 673-7211|||https://www.nwaonline.com/news/2020/apr/02/2-state-firms-begin-drive-thru-testing-/
Hot Spring County Health Unit||Malvern|||||https://www.nwaonline.com/news/2020/apr/02/2-state-firms-begin-drive-thru-testing-/
Baptist Health Family Clinic-Caddo Valley||Arkadelphia|||||https://www.nwaonline.com/news/2020/apr/02/2-state-firms-begin-drive-thru-testing-/
Redirect Health Centers Clinic|16390 N 59th Ave #200|Glendale||623-334-4000|||https://redirecthealth.com/
Banner Desert Medical Center|1400 S Dobson Rd|Mesa|||no call required|charged as ER visit|
Banner Health|Multiple locations, call for details|Phoenix|7-5|844-549-1851|call for pre-screen; symptomatic|Not releasing test locations, call for appt|https://www.bannerhealth.com/patients/patient-resources/covid-19#Tested
Maready Medical|4135 S. Power Rd. #113|Mesa||480-626-2444|||https://www.fox10phoenix.com/news/list-coronavirus-testing-locations-in-arizona
